"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,62080,"11368","NY","New York","Queens","New York",0,373300,0.00457481162540366,0.00810153929246557,0.0533295711060948,0.0691639509996815,0.0410316773110615,"2016-02","2016-Q1",373300,0,"2016-02"
2016-02-29,93144,"79936","TX","El Paso","El Paso","El Paso",1,111000,0.000901713255184851,-0.00179856115107914,-0.00359066427289048,-0.00618968879694415,0.00780208733073584,"2007-12","2007-Q4",131000,-0.152671755725191,"2006-07"
2016-02-29,84630,"60629","IL","Chicago","Cook","Chicago",2,139800,0.000715819613457409,0.00286944045911047,0.0370919881305638,0.0223051968199637,-0.0474015194809044,"2006-07","2006-Q3",232900,-0.399742378703306,"2002-06"
2016-02-29,96193,"90650","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Norwalk",3,406600,0.00618658747834694,0.0177722152690864,0.0790870488322718,0.0718552070865908,-0.0145743366307689,"2006-08","2006-Q3",490100,-0.170373393185064,"2005-05"
2016-02-29,62037,"11226","NY","New York","Kings","New York",4,565900,-0.00264363764540007,-0.0219495333563775,0.0740178401973809,0.0861274022198309,0.0401910981111344,"2015-11","2015-Q4",578600,-0.0219495333563775,"2015-10"
2016-02-29,62093,"11385","NY","New York","Queens","New York",5,543200,0.00555349870418364,0.018754688672168,0.0984833164812942,0.0487764013754464,0.014687748034899,"2016-02","2016-Q1",543200,0,"2016-02"
2016-02-29,96083,"90201","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Bell",6,376500,0.00992489270386266,0.0389072847682119,0.102811950790861,0.0935981781323569,-0.0124383110106626,"2007-02","2007-Q1",470600,-0.199957501062473,"2005-06"
2016-02-29,96125,"90280","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","South Gate",7,371400,0.0062313736114874,0.0231404958677686,0.106674612634088,0.0880994399598214,-0.0158406248414111,"2007-04","2007-Q2",474900,-0.217940619077701,"2005-05"
2016-02-29,61639,"10025","NY","New York","New York","New York",8,1168000,0.00907127429805616,-0.00815217391304348,0.089349002051856,0.094954523857633,0.0523797493366465,"2015-08","2015-Q3",1248500,-0.0644773728474169,"2015-06"
2016-02-29,62044,"11234","NY","New York","Kings","New York",9,487100,0.0055739058629232,0.0211740041928721,0.0750386228205694,0.0218043105379548,0.00241316288448545,"2007-11","2007-Q4",509600,-0.0441522762951334,"2006-04"
2016-02-29,84620,"60618","IL","Chicago","Cook","Chicago",10,327800,0.00244648318042813,0.00954727440714506,0.0530035335689046,0.0383310391941583,-0.00320688951420567,"2006-11","2006-Q4",349600,-0.0623569794050343,"2005-10"
2016-02-29,62046,"11236","NY","New York","Kings","New York",11,378800,0.00317796610169492,0.0182795698924731,0.0816676185037122,0.0126636499027613,-0.00175174706608283,"2007-12","2007-Q4",454100,-0.165822506055935,"2006-01"
2016-02-29,96361,"91331","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",12,392100,0.00693374422187982,0.0202966432474629,0.069266430324516,0.0935748194928698,-0.020877105337605,"2006-09","2006-Q3",514100,-0.237307916747714,"2005-01"
2016-02-29,61148,"08701","NJ","New York","Ocean","Lakewood Township",13,286800,0.0127118644067797,0.0294328786791098,0.0749625187406297,0.046406874611236,-0.0111407537272925,"2006-03","2006-Q1",321000,-0.106542056074766,"2005-02"
2016-02-29,96816,"92335","CA","Riverside","San Bernardino","Fontana",14,280300,0.0115481775532299,0.0316525579683474,0.0906614785992218,0.121058914769002,-0.0270927398452349,"2006-06","2006-Q2",387200,-0.276084710743802,"2004-12"
2016-02-29,62019,"11208","NY","New York","Kings","New York",15,370000,0.00680272108843537,0.0300668151447661,0.128737034777303,0.0400089118374003,0.00537156022301555,"2008-02","2008-Q1",447800,-0.173738276016079,"2006-05"
